,crash_type,report_made,date_time,case_number,district,location,road_type,ticket_arrest,citation_to,biker_gender,biker_city_of_residence,biker_zip_code,driver_gender,driver_city_res,driver_zip_code,injury_to_biker,level_of_injury_to_biker,biker_to_hospital,location_1,count,:@computed_region_jitf_9zyt,:@computed_region_dysk_fpxp,ped_age,ped_gender,ped_city_res,ped_zip_code,injury_to_pedestrian,level_of_injury_to_ped,pedestrian_to_hospital,lanes_of_traffic,signal_present,speed_limit,synopsis,driver_age,biker_age
309,Pedestrian,Yes,2018-04-11T16:45:00.000,18-0073931,Central District,7 Pl E & Jackson St,Municiapl State Aid,Yes,Driver,,,,Male,Eagan,55123,,,,"{'latitude': '44.94970639', 'longitude': '-93.09099275'}",1,12,5,28,Female,Stacy,55079,Yes,Suspected Minor Injury,No,2,Yes,30,"Pedestrian was crossing Jackson when vehicle made left turn from WB 7th Place to SB Jackson and struck the pedestrian, who was in crosswalk with walk sign.  Driver cited for failure to yield to pedestrian in crosswalk and inattentive driving.",64,
310,Bike,Yes,2017-09-23T08:29:00.000,17-225369,Central District,Rice St & Sycamore,County - State Aid Highway,Yes,Biker,Male,St. Paul,55103,Female,St. Paul,55117,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.96471715', 'longitude': '-93.10606009'}",1,3,7,,,,,,,,4,Yes,30,"Bike was NB on W sidewalk of Rice Street, with red light.  Vehicle was EB Sycamore, making right turn to SB Rice, with green light.  Bike failed to obey light and rode into vehicle.  Biker cited.",40,36
311,Bike,Yes,2016-09-20T07:16:00.000,16-192062,Western District,Mississippi River Blvd & Marshall Ave,County - State Aid Highway,Yes,Driver,Male,St. Paul,55104,Female,Apple Valley,55124,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.948389', 'longitude': '-93.199397'}",1,17,4,,,,,,,,4,No,30,,24,48
312,Bike,Yes,2018-05-24T17:50:00.000,18-110842,Eastern District,Westminster & Sims Ave,Municiapl State Aid,No,None,Male,St. Paul,55106,Male,St. Paul,55130,Yes,Suspected Minor Injury,No,"{'latitude': '44.96911205', 'longitude': '-93.08556786'}",1,13,3,,,,,,,,2,No,30,"Driver was NB on Westminster, biker was EB on Sims.  Biker did not stop for stop sign and struck vehicle.",31,10
313,Pedestrian,Yes,2016-06-08T07:00:00.000,16-113396,Western District,Western Ave N & Selby Ave,Municipal Aid Street,Yes,Driver,,,,Male,Stacy,55079,,,,"{'latitude': '44.946554', 'longitude': '-93.116107'}",1,9,7,51,Male,St. Paul,55117,Yes,Suspected Minor Injury,No,,,,,62,
314,Bike,Yes,2017-12-31T00:20:00.000,17-298423,Central District,Rice St & Rose Ave,County - State Aid Highway,No,None,Female,St. Paul,55117,Male,St. Paul,55117,Yes,Possible Injury,,"{'latitude': '44.97645205', 'longitude': '-93.10588038'}",1,3,3,,,,,,,,2,Stop Sign,30,"Driver was WB Rose, making a right onto NB Rice.  Biker was SB on E sidewalk of Rice and crossed Rose in crosswalk.  Biker was struck by vehicle.",52,19
315,Pedestrian,Yes,2017-04-29T17:43:00.000,17-094615,Eastern District,5th Street E & Winthrop St,City,Driver,Driver,,,,Male,St. Paul,55119,,,,"{'latitude': '44.95949324', 'longitude': '-93.0099394'}",1,16,2,20,Male,St. Paul,55119,Yes,Possible Injury,Yes,2,No,30,Vehicle was travelling EB on 5th Street from Winthrop when it struck a pedestrian who had gotten out of a legally parked vehicle.  The pedestrian was transported to the hospital for minor injuries.  The driver was driving on a cancelled license and was inimical to public safety. The driver was also intoxicated.  The driver was arrested and booked into the jail.,47,
316,Pedestrian,Yes,2018-02-01T08:28:00.000,18-022073,Central District,Dorothy Day Pl & Old 6th St,Municiapl State Aid,Yes,Driver,,,,Male,Hopkins,55343,,,,"{'latitude': '44.94660481', 'longitude': '-93.10222341'}",1,12,5,65,Male,St. Paul,55102,Yes,Suspected Serious Injury,Yes,4,Yes,30,"Driver made an illegal right turn on red, striking a male pedestrian crossing in the crosswalk.  Male was in a wheelchair.",40,
317,Pedestrian,Yes,2018-05-13T13:50:00.000,18-100848,Western District,University Ave W & Simpson St,Private,No,None,,,,Male,Maplewood,55117,,,,"{'latitude': '44.95546738', 'longitude': '-93.16618937'}",1,17,7,73,Female,St. Paul,55101,Yes,Suspected Serious Injury,Yes,0,No,10,Pedestrian was walking in driveway of parking lot and struck at low speed by vehicle.  Driver stated he did not see the pedestrian.,51,
318,Pedestrian,Yes,2017-08-16T07:16:00.000,17-192017,Western District,Dale St N & Thomas Ave,Municiapl State Aid,No,None,,,,Female,St. Paul,55104,,,,"{'latitude': '44.95936807', 'longitude': '-93.12644645'}",1,10,7,57,Female,St. Paul,55104,No,None,No,2,No,30,"Driver made a right turn from parking lot of gas station to go EB Thomas.  Pedestrian crossing Thomas midblock, not in crosswalk, struck by turning vehicle.  Driver said pedestrian had been on sidewalk and then suddenly was in front of vehicle after turn.  No citations.",25,
319,Pedestrian,Yes,2018-06-21T15:31:00.000,18-135282,Central District,Kellogg Bd E & Robert St N,State - Trunk Highway,Yes,Driver,,,,Female,Minneapolis,55412,,,,"{'latitude': '44.94580099', 'longitude': '-93.08940356'}",1,12,5,58,Female,Maplewood,55109,Yes,Possible Injury,No,6,Yes,30,"Vehicle was NB Robert and made a left turn to WB Kellogg on a green arrow (according to driver).  Pedestrian was crossing Kellogg on the green arrow, but stopped at median until walk sign appeared, then continued.  Driver stated she did not know she hit a pedestrian.  Investigation revealed more information and driver was cited.",26,
320,Pedestrian,Yes,2018-02-09T15:28:00.000,18-028599,Central District,Arlington Ave W & Rice St N,Municiapl State Aid,No,None,,,,Male,St. Paul,55117,,,,"{'latitude': '44.98458252', 'longitude': '-93.10582822'}",1,3,3,11,Female,St. Paul,55106,Yes,Suspected Minor Injury,No,2,Yes,30,Driver was WB Arlington with green light.  Juvenile ran NB across Arlington against signal and ran into the side of the vehicle.  SRTS.,71,
321,Bike,Yes,2017-06-27T18:50:00.000,17-147018,Eastern District,Ivy Ave E & McKnight,City,No,None,Male,St. Paul,55106,Male,St. Paul,55119,No,None,No,"{'latitude': '44.98109264', 'longitude': '-93.0061916'}",1,14,1,,,,,,,,2,No,30,Bike and Vehicle were EB Ivy approaching McKnight.  Bike was riding in middle of lane.  Vehicle honked and then went around.  Bike turned left into vehicle.,35,38
322,Bike,Yes,2016-08-15T20:41:00.000,16-163954,Eastern District,Herbert St & Maryland Ave E,County - State Aid Highway,No,None,Female,St. Paul,55106,Male,St. Paul,55119,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.977331', 'longitude': '-93.031447'}",1,14,1,,,,,,,,4,No,30,,53,16
323,Pedestrian,Yes,2018-06-08T19:23:00.000,18-124025,Central District,5th St E & Washington St,Municiapl State Aid,Yes,Driver,,,,Female,St. Paul,55107,,,,"{'latitude': '44.94519412', 'longitude': '-93.09754568'}",1,12,5,71,Male,Maplewood,55119,Yes,Suspected Minor Injury,Yes,4,Stop Sign,30,"Driver was NB Washington, making right onto EB 5th Street after stopping for stop sign.  Ped was crossing in crosswalk.  Driver struck the pedestrian.  Driver cited for failure to yield to pedestrian.",23,
324,Bike,No,2016-01-28T18:34:00.000,16-018139,Western District,Summit Ave & Ramsey St,,No,,Male,St. Paul,55116,Male,Unknown,Unknown,No,None,No,"{'latitude': '44.9414076', 'longitude': '-93.1179232'}",1,9,7,,,,,,,,,,,,55,26
325,Pedestrian,Yes,2016-07-05T18:09:00.000,16-135742,Eastern District,7th St E & Maria,State - Trunk Highway,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.95808', 'longitude': '-93.073781'}",1,15,2,59,Female,St. Paul,55107,Yes,Suspected Minor Injury,Yes,4,Yes,30,,36,
326,Pedestrian,Yes,2017-10-08T00:00:00.000,17-237997,Western District,Edmund Ave &  Farrington,City,No,None,,,,Male,Unknown,Unknown,,,,"{'latitude': '44.95859045', 'longitude': '-93.11358993'}",1,10,7,19,Female,St. Paul,55104,Yes,Suspected Minor Injury,Yes,2,Stop Sign,30,Pedestrian was WB in N Xwalk of Edmund at Farrington.  Red SUV SB ran through stop sign and struck pedestrian and then fled.,,
327,Bike,No,2016-03-21T15:25:00.000,16-054459,Eastern District,Dellwood Pl & Margaret St,,No,None,Male,St. Paul,55106,Female,Oakdale,55128,Yes,Suspected Minor Injury,No,"{'latitude': '44.961225', 'longitude': '-93.069834'}",1,15,2,,,,,,,,,,,,58,29
328,Pedestrian,Yes,2018-08-15T08:54:00.000,18-184323,Eastern District,Maryland Ave & Weide,County - State Aid Highway,Yes,Driver,,,,Male,St. Paul,55117,,,,"{'latitude': '44.977472', 'longitude': '-93.06757925'}",1,13,1,46,Male,St. Paul,55101,Yes,Suspected Minor Injury,Yes,2,No,30,Police officer was struck by a vehicle that was trying to flee after benig stopped for failure to yield to a pedestrian.  Driver arrested and later charged for multiple violations.,54,
329,Pedestrian,Yes,2017-04-01T12:52:00.000,17-070340,Western District,Wynne Ave & Lexington,Parking Lot,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.97569', 'longitude': '-93.15058'}",1,2,4,49,Male,Shoreview,55126,Yes,Possible Injury,No,Private,No,10,"Pedestrian approached a vehicle that was blocking traffic to ask him to move. The driver was rude and argumentative.  The pedestrian stepped in front of the vehicle to take a photograph of the license plate.  The driver drove forward, striking the pedestrian.  The pedestrian struck the vehicle with a folding chair.  The driver fled the scene prior to police arriving.  No injuries.",,
330,Bike,Yes,2017-08-05T16:30:00.000,17-182955,Central District,Oakdale Ave & Winona,City,No,None,Female,St. Paul,55107,Male,St. Paul,55107,Yes,Possible Injury,Yes,"{'latitude': '44.92130509', 'longitude': '-93.07679507'}",1,7,5,,,,,,,,2,Stop Sign,30,Driving SB Oakdale crossing Winona.  Biker EB Oakdale and had a stop sign.  Biker going too fast to stop and struck vehicle.,33,12
331,Bike,Yes,2017-11-22T08:55:00.000,17-271275,Central District,Robert St S & Baker St,State - Trunk Highway,No,None,Male,St. Paul,55107,Male,Fridley,55432,No,None,,"{'latitude': '44.92626723', 'longitude': '-93.08074337'}",1,7,5,,,,,,,,4,Stop Sign,30,Biker was NB Robert crossing baker when vehicle rolled through crosswalk and struck biker.,56,16
332,Pedestrian,Yes,2016-07-12T18:13:00.000,16-140096,Western District,1416 Lexington Pkwy,County - State Aid Highway,No,None,,,,Female,St. Paul,55117,,,,"{'latitude': '44.983811', 'longitude': '-93.143657'}",1,2,4,78,Female,St. Paul,55106,Yes,Possible Injury,Yes,2,No,30,,40,
333,Pedestrian,Yes,2016-05-11T16:40:00.000,16-091652,Central District,7th St W & St. Clair,City Street,No,None,,,,Female,St. Paul,55107,,,,"{'latitude': '44.934116', 'longitude': '-93.117348'}",1,11,5,13,Male,St. Paul,55102,Yes,Suspected Serious Injury,Yes,,,,,16,
334,Bike,Yes,2016-07-03T23:29:00.000,16-134086,Central District,754 Rice Street,Private Parking Lot,No,None,Male,St. Paul,55103,Unknown,Unknown,Unknown,No,None,No,"{'latitude': '44.964041', 'longitude': '-93.105787'}",1,3,7,,,,,,,,Sidewalk,No,10,,,17
335,Pedestrian,Yes,2017-02-04T22:38:00.000,17-025539,Central District,Exchange St S & Walnut St,Munincipal State Aid,No,None,,,,Male,St. Paul,55104,,,,"{'latitude': '44.91975582', 'longitude': '-93.16732818'}",1,6,6,22,Female,Richfield,55423,Yes,Suspected Minor Injury,Yes,3,No,30,"Pedestrian was crossing the street, not in the crosswalk.  Driver struck pedestrian.  Pedestrian told the officers she did not know how the crash happened.  This was during the red bull crashed ice event.",51,
336,Pedestrian,Yes,2016-10-06T20:47:00.000,16-205335,Eastern District,York and Desoto,Private Parking Lot,No,None,,,,Male,St. Paul,55117,,,,"{'latitude': '44.968776', 'longitude': '-93.080973'}",1,13,3,29,Female,Savage,55378,Yes,Possible Injury,Yes,Private,No,10,,19,
337,Bike,Yes,2016-06-15T14:41:00.000,16-119109,Eastern District,Arlington Ave E & Clarence St,Municipal Aid Street,No,None,Male,St. Paul,55119,Unknown,Unknown,Unknown,Yes,Possible Injury,No,"{'latitude': '44.984784', 'longitude': '-93.043135'}",1,14,1,,,,,,,,,,,,,20
338,Ped2,,2016-10-16T02:25:01.000,16-212712,,,,,,,,,,,,,,,,1,,,22,Female,St. Paul,55106,Yes,Suspected Minor Injury,Yes,,,,ped 2 of 2 for above crash,,
339,Pedestrian,Yes,2016-01-03T17:00:00.000,16-001648,Western District,Selby Ave & Avon,County - State Aid Highway,No,,,,,Male,St. Paul,55104,,,,"{'latitude': '44.94649128', 'longitude': '-93.13371446'}",1,9,7,38,Female,"Kansas City, MO",64109,No,None,No,,,,,45,
340,Pedestrian,Yes,2016-11-02T14:21:00.000,16-225980,Central District,Arlington Ave W & Matilda,Municipal Aid Street,No,None,,,,Male,St. Paul,55117,,,,"{'latitude': '44.984584', 'longitude': '-93.112304'}",1,3,3,78,Male,St. Paul,55117,Yes,FATAL,Yes,2,No,30,Pedestrian crossing in marked crosswalk was struck by vehicle.,68,
341,Pedestrian,Yes,2018-01-13T17:14:00.000,18-008682,Eastern District,Earl St & Maryland Ave,Municiapl State Aid,Yes,Driver,,,,Female,St. Paul,55130,,,,"{'latitude': '44.97747145', 'longitude': '-93.05580183'}",1,13,1,46,Female,Minneapolis,55418,Yes,Possible Injury,Yes,2,Yes,30,Pedestrian in a wheelchair was crossing Earl with right of way.  Driver turned right from EB to SB and did not see the pedestrian.,38,
342,Ped2,,2016-12-30T21:45:02.000,16-266642,Western District,Selby Ave & St. Alband,,,,,,,,,,,,,"{'latitude': '44.946579', 'longitude': '-93.128823'}",1,9,7,19,Male,St. Paul,55104,,,,,,,2nd Pedestrian from above,,
343,Pedestrian,Yes,2017-03-15T08:07:00.000,17-055915,Western District,Dale St N & Maryland Ave W,County - State Aid Highway,Yes,Driver,,,,Male,St. Paul,55117,,,,"{'latitude': '44.97746034', 'longitude': '-93.12628777'}",1,2,3,44,Female,St. Paul,55117,Yes,Possible Injury,Yes,4,Yes,30,"Vehicle was EB on Maryland, making a right turn onto SB Dale.  Pedestrian was crossing in S crosswalk and was struck by turning vehicle.  Driver states the sun prevented him from seeing the pedestrian.",27,
344,Bike,Yes,2016-09-12T22:04:00.000,16-186132,Eastern District,7 St E & Maria,Municipal Aid Street,No,None,Male,Unknown,Unknown,Male,"Roberts, WI",54023,No,None,No,"{'latitude': '44.95808', 'longitude': '-93.073781'}",1,15,2,,,,,,,,2,Yes,30,,46,29
345,Pedestrian,Yes,2017-08-10T16:08:00.000,17-187290,Western District,Ashland Ave & Mackubin,City,Yes,Driver,,,,Female,St. Paul,55104,,,,"{'latitude': '44.9446664', 'longitude': '-93.12132154'}",1,9,7,24,Female,St. Paul,55102,Yes,Suspected Minor Injury,Yes,2,Stop Sign,30,"Driver NB on Mackubin, midblock, north of Ashland.  Pedestrian ran across street (raining) and was struck.  Driver claimed to not have seen pedestrian until too late.  Driver fled because she was scared.  Case submitted to City Attorney for Charging.",36,
346,Pedestrian,Yes,2016-12-21T16:32:00.000,16-260496,Eastern District,White Bear Ave N & Maryland Ave E,County - State Aid Highway,Yes,Driver,,,,Male,St. Paul,55106,,,,"{'latitude': '44.977511', 'longitude': '-93.025303'}",1,14,1,57,Male,St. Paul,55106,No,None,No,4,Yes,30,"Vehicle was SB on White Bear, making right turn onto WB Maryland with green light.  Pedestrian was walking SB in W crosswalk.  Vehicle failed to yield right of way.  Driver was cited.",23,
347,Bike,Yes,2017-09-15T14:38:00.000,17-218700,Eastern District,3rd St E & Johnson Pkwy,Municipal State Aid,No,None,Male,"Roberts, WI",54023,Female,St. Paul,55106,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.95671629', 'longitude': '-93.04587927'}",1,15,2,,,,,,,,4,Yes,30,Bike was NB Johnson.  Vehicle was turning EB 3rd from Johnson and struck biker.,68,27
348,Pedestrian,Yes,2018-02-13T15:27:00.000,18-031315,Western District,Snelling Ave N & Spruce Tree,State - Trunk Highway,Yes,Driver,,,,Male,Cottage Grove,55016,,,,"{'latitude': '44.954783', 'longitude': '-93.166921'}",1,17,7,56,Male,St. Paul,55101,Yes,Suspected Minor Injury,Yes,5,Yes,30,VEHICLE #1 WAS DRIVING WEST ON SPRUCE TREE MAKING LEFT TURN TO SOUTHBOUND SNELLING ON A GREEN LIGHT. PEDESTRIAN #2 WAS WALKING EAST IN SOUTH CROSSWALK. VEHICLE #1 STRUCK PEDESTRIAN. SPFD MEDIC TRANSPORTED PEDESTRIAN TO REGIONS HOSPITAL WITH POSSIBLE INJURIES. DRIVER #1 SAID HE DIDN'T SEE PEDESTRIAN IN CROSSWALK DUE TO SUN. DRIVER #1 WAS ISSUED CITATION #620906236166 FOR FAIL TO YIELD TO PEDESTRIAN IN CROSSWALK.,32,
349,Ped2,,2018-08-03T21:16:01.000,18-173988,,,,,,,,,,,,,,,,1,,,18,Male,St. Paul,55102,Yes,Suspected Minor Injury,No,,,,2nd pedestrian from this crash,,
350,Pedestrian,No,2017-05-02T16:32:00.000,17-096913,Eastern District,Maryland Ave E & Walsh St,County - State Aid Highway,No,None,,,,Male,Unknown,Unknown,,,,"{'latitude': '44.977489', 'longitude': '-93.069378'}",1,13,1,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,4,No,30,"no report made.  Caller reported dark suv struck ped in crosswalk, but pedestrian got up and walked away.  When police arrived no one was around.  Call was cleared Gone On Arrival.",,
351,Bike,Yes,2017-09-28T13:42:00.000,17-229864,Western District,Marshall Ave & Otis St,City,No,None,Male,St. Paul,55104,Female,St. Paul,55105,Yes,Possible Injury,No,"{'latitude': '44.94869107', 'longitude': '-93.19792399'}",1,17,4,,,,,,,,2,No,30,Vehicle was exiting parking lot of 300 Mississippi River Blvd onto Otis.  Bike was struck on Otis.,66,71
352,Pedestrian,Yes,2018-03-22T22:46:00.000,18-059353,Western District,Hwy 280 & Como Ave,Municiapl State Aid,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.98792905', 'longitude': '-93.20429875'}",1,1,4,26,Male,Cambridge,55008,Yes,Suspected Minor Injury,Yes,3,No,30,Pedestrian was crossing Como underneath Hwy 280.  Unknown vehicle struck pedestrain and fled.  Limited description given.  Case is open for investigation.,,
353,Pedestrian,Yes,2017-09-07T12:15:00.000,17-211723,Western District,Dale St N & University Ave W,County - State Aid Highway,Yes,Pedestrian,,,,Female,Fridley,55432,,,,"{'latitude': '44.95582232', 'longitude': '-93.1260529'}",1,10,7,52,Male,St. Paul,55103,Yes,Possible Injury,Yes,5,Yes,30,Driver was WB University with green light.  Pedestrian ran out in front of vehicle against red light and was struck.,26,
354,Bike,Yes,2018-08-12T09:37:00.000,18-181720,Western District,Avon & Summit,Municiapl State Aid,Yes,Driver,Male,St. Paul,55104,Male,Mendota Heights,55118,No,None,No,"{'latitude': '44.94125075', 'longitude': '-93.13424065'}",1,8,5,,,,,,,,2,No,30,"Driver and Biker both EB Summit.  Driver moved to right and into bike lane, striking the biker.",69,48
355,Pedestrian,Yes,2017-10-30T18:36:00.000,17-254701,Eastern District,White Bear Ave & Wilson St,County - State Aid Highway,No,None,,,,Male,Oakdale,55128,,,,"{'latitude': '44.95416162', 'longitude': '-93.02528831'}",1,16,2,33,Female,St. Paul,55119,No,None,No,4,No,30,"Vehicle SB White Bear Ave, Ped crossing at Wilson, with a stroller and child.  Vehicle struck peds.",22,
356,Pedestrian,Yes,2018-02-17T18:17:00.000,18-034637,Western District,Marion St & Ravoux St,County - State Aid Highway,Yes,Driver,,,,Male,Minneapolis,55412,,,,"{'latitude': '44.95222711', 'longitude': '-93.10995817'}",1,9,7,63,Male,St. Paul,55103,Yes,Suspected Minor Injury,Yes,4,No,30,"Witness vehicle #1 was SB on Marion in left (inside) lane, and stopped for pedestrian in crosswalk.  Pedestrian was crossing in marked crosswalk.  Suspect driver #2 SB marion in right (outside) lane failed to stop, passing the stopped car and striking the pedestrian.  Striking vehicle fled, but was later located by police. Driver was imparied and was arrested, .14 BAC.",53,
357,Pedestrian,Yes,2018-06-05T17:35:00.000,18-121234,Central District,Geranium & Sylvan,City,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.97652688', 'longitude': '-93.09980345'}",1,3,3,4,Female,St. Paul,55117,Yes,Suspected Minor Injury,No,2,No,30,Driver was EB Geranium.  4 y/o ran into street and was struck.  Driver did not have a license or insurance.  Driver cited.,24,
358,Bike,Yes,2016-12-05T17:18:00.000,16-249553,Central District,Como Ave & Rice St,County - State Aid Highway,No,None,Male,St. Paul,55117,Male,St. Paul,55113,Yes,Suspected Minor Injury,No,"{'latitude': '44.95895', 'longitude': '-93.105954'}",1,10,7,,,,,,,,4,Yes,30,"Bike was NB on Rice (W crosswalk), vehicle was NB Rice, making left turn to WB Como, struck biker who was legally in crosswalk with signal.",48,44
359,Pedestrian,Yes,2017-05-15T14:33:00.000,17-108800,Western District,Snelling Ave N & Hewitt Ave,State - Trunk Highway,No,None,,,,Male,Taylors Falls,55084,,,,"{'latitude': '44.96644769', 'longitude': '-93.16683738'}",1,4,4,28,Female,Minneapolis,55404,No,None,No,5,Traffic Signal,30,"Vehicle was EB Hewitt, making a left turn to NB Snelling on green light.  Pedestrian was WB Hewitt walking in north crosswalk with walk signal.  It was raining hard.  Driver stated he did not see the pedestrian due to rain.  No citations issued.",78,
360,Bike,Yes,2018-07-13T18:00:00.000,18-155336,Central District,Rice & Sycamore,County - State Aid Highway,Yes,Driver,Female,St. Paul,55117,Male,St. Paul,55104,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.96477429', 'longitude': '-93.10608703'}",1,3,7,,,,,,,,2,Yes,30,V1 WAS TRAVELING EASTBOUND ON SYCAMORE ATTEMPTING TO TURN SOUTH ONTO RICE ST. V1 SLOWED FOR A RED LIGHT PRIOR TO THE TURN BUT DID NOT YIELD TO A BICYCLE IN THE CROSSWALK CAUSING AN CRASH.  DRIVER CITED.,28,52
361,Pedestrian,Yes,2017-12-19T18:04:00.000,17-290793,Western District,Victoria St N & Concordia,Municipal State Aid,No,None,,,,Male,"New Richmond, WI",54017,,,,"{'latitude': '44.9512481', 'longitude': '-93.13635408'}",1,9,7,47,Female,St. Paul,55104,Yes,Suspected Minor Injury,No,2,Stop Sign,30,"Vehicle was SB Victoria, made a left onto EB Concordia after stopping at stop sign.  Pedestrian was crossing in crosswalk and was struck.  Driver said they did not see the pedestrian.",33,
362,Pedestrian,Yes,2017-05-30T09:02:00.000,17-121488,Eastern District,Jenks & Frank,City,No,None,,,,Male,St. Paul,55106,,,,"{'latitude': '44.97080924', 'longitude': '-93.05333929'}",1,13,1,4,Male,St. Paul,55106,Yes,Possible Injury,No,2,No,30,"On 05/30/2017 at approximately 0908 hours, Vehicle #1 was SB Frank when a child darted out (EB) from the alley South of Jenks. Driver of vehicle #1 said he attempted to stop but was unable to and struck the child. Per the child's sister, she was holding the child's hand when he darted towards the street and did not stop for the vehicle. The child had a scuff on his right knee and was not transported to the hospital. Driver of Vehicle #1 was cited for DAS (620906092020).",34,
363,Bike,Yes,2017-08-14T16:38:00.000,17-190676,Central District,Rice St & Maryland Ave W,County - State Aid Highway,No,None,Female,St. Paul,55117,Male,St. Paul,55117,No,None,No,"{'latitude': '44.9779981', 'longitude': '-93.10588322'}",1,3,3,,,,,,,,4,No,30,"Biker NB on E sidewalk.  Vehicle exiting Tin Cups parking lot, struck biker.",49,11
364,Pedestrian,Yes,2017-06-05T14:44:00.000,17-127876,Eastern District,1164 Arkwright St,City,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.97607383', 'longitude': '-93.08358497'}",1,13,3,37,Male,St. Paul,55106,Yes,Suspected Serious Injury,Yes,2,No,30,"Vehicle intentionally drove at group of people on sidewalk, striking one and causing serious injuries.  Investigation continues.",,
365,Bike,Yes,2016-08-08T07:13:00.000,16-158207,Western District,Cretin Ave S & Ford Pkwy,County - State Aid Highway,Yes,Driver,Male,St. Paul,55116,Male,Minneapolis,55411,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.917861', 'longitude': '-93.192482'}",1,6,6,,,,,,,,5,Yes,30,,32,28
366,Bike,Yes,2016-03-12T08:23:00.000,16-047754,Eastern District,Mounds Blvd & Clermont,,No,None,Male,St. Paul,55101,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.94678255', 'longitude': '-93.05983703'}",1,15,2,,,,,,,,,,,,,53
367,Bike,No,2016-03-14T08:52:00.000,16-049190,Western District,St. Clair Ave & Finn St,,No,None,Female,Plymouth,55447,Unknown,Unknown,Unknown,No,None,No,"{'latitude': '44.9343015', 'longitude': '-93.1901177'}",1,5,6,,,,,,,,,,,,,75
368,Pedestrian,No,2016-07-22T12:02:00.000,16-146137,Eastern District,White Bear Ave N & Suburban,County - State Aid Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.949685', 'longitude': '-93.025222'}",1,16,2,,Unknown,Unknown,Unknown,No,None,No,4,Yes,30,,,
369,Pedestrian,Yes,2016-11-01T18:47:00.000,16-225409,Central District,11th Street & Jackson Street,Municipal Aid Street,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.95288559', 'longitude': '-93.09388244'}",1,12,5,30,Male,St. Paul,55119,Yes,Suspected Minor Injury,Yes,6,Yes,30,"Ped crossing against signal and was struck be vehicle.  Driver stopped to check, but then left scene without providing any information.",,
370,Pedestrian,Yes,2016-03-23T14:59:00.000,16-055981,Eastern District,Bates Ave & 7th Street,,No,None,,,,Male,Elk River,55330,,,,"{'latitude': '44.95831955', 'longitude': '-93.07172423'}",1,15,2,35,Male,Cedar,55011,Yes,Suspected Minor Injury,No,,,,,58,
371,Bike,Yes,2016-08-04T21:05:00.000,16-155865,Western District,Aurora Ave & Western Ave,City Street,No,None,Male,St. Paul,55068,Male,St. Paul,55117,No,None,No,"{'latitude': '44.954886', 'longitude': '-93.116117'}",1,9,7,,,,,,,,2,No,30,,34,28
372,Pedestrian,Yes,2018-07-04T22:21:00.000,18-147614,Eastern District,6 St E & Bates st,Municiapl State Aid,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.95763712', 'longitude': '-93.07095855'}",1,15,2,14,Male,St. Paul,55106,Yes,Possible Injury,No,2,No,30,"Driver was WB 6th, making left to SB Bates.  Struck a pedestran that was trying to cross the street.  Driver fled the scene.",,
373,Pedestrian,Yes,2016-11-16T12:28:00.000,16-235922,Western District,Victoria St N & Blair Ave,City Street,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.96109313', 'longitude': '-93.13647421'}",1,10,7,57,Male,St. Paul,55104,Yes,Suspected Serious Injury,Yes,2,No,30,"Pedestrian told police he was walking near this location when he was struck by a vehicle, Unknown make, model or color.  No further information.",,
374,Pedestrian,Yes,2016-05-03T18:14:00.000,16-085386,Western District,1300 W University Ave,Private Parking Lot,No,None,,,,Female,St. Paul,55102,,,,"{'latitude': '44.953311', 'longitude': '-93.155535'}",1,17,7,49,Female,St. Paul,55102,Yes,Possible Injury,No,,,,,29,
375,Pedestrian,Yes,2017-10-16T14:07:00.000,17-244119,Western District,University Ave W & Pascal St N,Parking Lot,No,None,,,,Female,Eagan,55122,,,,"{'latitude': '44.95546582', 'longitude': '-93.16198804'}",1,17,7,29,Female,St. Paul,55119,Yes,Possible Injury,Yes,Private,No,10,Vehicle backing in parking lot struck pedestrian.,24,
376,Pedestrian,Yes,2016-08-18T13:38:00.000,16-165999,Western District,Lexington Pkwy N & Concordia,Municipal Aid Street,Yes,Driver,,,,Female,Hastings,55033,,,,"{'latitude': '44.95128', 'longitude': '-93.146756'}",1,17,7,57,Male,St. Paul,55104,Yes,Possible Injury,Yes,4,Yes,30,,19,
